id,key,value,type
84808220,created_by,JOSM,regular
84808263,highway,traffic_signals,regular
191230164,crossing,uncontrolled,regular
191230164,highway,crossing,regular
191230164,tactile_paving,no,regular
191230164,wheelchair,yes,regular
191232145,highway,give_way,regular
191262271,city,Sevilla,addr
191262271,name,Sevilla - Santa Justa,regular
191262271,operator,Adif,regular
191262271,railway,station,regular
191262271,usage,main,regular
191262271,wikidata,Q801432,regular
192021046,highway,traffic_signals,regular
192021712,highway,traffic_signals,regular
195972019,junction,yes,regular
195972019,name,Puerta del Arenal,regular
195977239,crossing,uncontrolled,regular
195977239,highway,crossing,regular
195977239,tactile_paving,no,regular
195977240,crossing,uncontrolled,regular
195977240,highway,crossing,regular
195977240,tactile_paving,no,regular
195977240,wheelchair,yes,regular
195986631,crossing,uncontrolled,regular
195986631,crossing_ref,zebra,regular
195986631,highway,crossing,regular
195986631,tactile_paving,no,regular
195986631,wheelchair,yes,regular
196525204,highway,traffic_signals,regular
196547108,crossing,uncontrolled,regular
196547108,highway,crossing,regular
196547108,tactile_paving,yes,regular
197936328,created_by,JOSM,regular
197936386,created_by,JOSM,regular
197936440,created_by,JOSM,regular
197992533,highway,traffic_signals,regular
197992533,tactile_paving,no,regular
197992533,wheelchair,no,regular
197992541,crossing,uncontrolled,regular
197992541,crossing_ref,zebra,regular
197992541,highway,crossing,regular
197992541,tactile_paving,no,regular
197992541,wheelchair,yes,regular
197992673,crossing,unmarked,regular
197992673,highway,crossing,regular
197992673,wheelchair,yes,regular
197992682,crossing,uncontrolled,regular
197992682,highway,crossing,regular
197992682,wheelchair,yes,regular
197992688,crossing,uncontrolled,regular
197992688,highway,crossing,regular
197992688,wheelchair,yes,regular
197992707,crossing,uncontrolled,regular
197992707,highway,crossing,regular
197992707,tactile_paving,no,regular
197992707,wheelchair,no,regular
198281323,crossing,uncontrolled,regular
198281323,highway,crossing,regular
198281323,tactile_paving,yes,regular
198281323,wheelchair,yes,regular
198281526,crossing,uncontrolled,regular
198281526,highway,crossing,regular
198281526,wheelchair,yes,regular
198285128,highway,traffic_signals,regular
198285861,highway,traffic_signals,regular
198285899,highway,traffic_signals,regular
199365921,crossing,uncontrolled,regular
199365921,highway,crossing,regular
199365921,tactile_paving,no,regular
199365921,wheelchair,limited,regular
201316917,name,Puerta Jerez,regular
201316917,operator,Tussam,regular
201316917,public_transport,stop_position,regular
201316917,railway,tram_stop,regular
201316917,ref,3006,regular
201316917,source,ide.Sevilla,regular
